Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
2014-09-29,58538052,3,0.38885905035242235,10166918,5932099,23709323,13833696,24661811,14389445,-4.31
2014-09-30,58755416,3,0.38885905035242235,10204670,5932099,23797360,13833696,24753385,14389445,-3.95
2014-10-01,55943620,3,0.38885905035242235,9716316,5932099,22658515,13833696,23568789,14389445,-8.55
2014-10-02,55916432,3,0.38885905035242235,9711594,5932099,22647504,13833696,23557335,14389445,-8.59
2014-10-03,57600798,3,0.38885905035242235,10004135,5932099,23329712,13833696,24266950,14389445,-5.84
2014-10-06,57206885,3,0.38885905035242235,9935720,5932099,23170168,13833696,24100997,14389445,-6.48
2014-10-07,54789002,3,0.38885905035242235,9515781,5932099,22190867,13833696,23082353,14389445,-10.44
2014-10-08,57953963,3,0.38885905035242235,10065473,5932099,23472753,13833696,24415737,14389445,-5.26
2014-10-09,55067470,3,0.38885905035242235,9564146,5932099,22303653,13833696,23199671,14389445,-9.98
2014-10-10,50944898,3,0.38885905035242235,8848135,5932099,20633912,13833696,21462850,14389445,-16.72
2014-10-13,48560965,3,0.38885905035242235,8434093,5932099,19668362,13833696,20458510,14389445,-20.62
2014-10-14,48649290,3,0.38885905035242235,8449433,5932099,19704136,13833696,20495721,14389445,-20.47
2014-10-15,47610151,3,0.38885905035242235,8268955,5932099,19283259,13833696,20057937,14389445,-22.17
2014-10-16,46869836,3,0.38885905035242235,8140377,5932099,18983414,13833696,19746046,14389445,-23.38
2014-10-17,48703597,3,0.38885905035242235,8458865,5932099,19726131,13833696,20518600,14389445,-20.38
2014-10-20,50802231,3,0.38885905035242235,8823357,5932099,20576129,13833696,21402746,14389445,-16.95
2014-10-21,54775408,3,0.38885905035242235,9513420,5932099,22185361,13833696,23076626,14389445,-10.46
2014-10-22,53926480,3,0.38885905035242235,9365978,5932099,21841525,13833696,22718977,14389445,-11.85
2014-10-23,56391873,3,0.38885905035242235,9794169,5932099,22840069,13833696,23757636,14389445,-7.82
2014-10-24,57689089,3,0.38885905035242235,10019470,5932099,23365472,13833696,24304147,14389445,-5.7
